2021-04-16,洗晾衣服,,,,,,,
2021-04-23,洗晾衣服,,,,,,,
2021-04-25,清潔地板,黏床,收摺衣服,刷馬桶,,,,
2021-05-01,黏床,清潔蚊帳,,,,,,
2021-05-02,洗晾衣服,洗晾床單,鋪床單,,,,,
2021-05-03,收摺衣服,收摺床單,,,,,,
2021-05-05,洗洗手槽,黏床,刷馬桶,,,,,
2021-05-06,洗晾衣服,,,,,,,
2021-05-07,黏床,收摺衣服,,,,,,
2021-05-08,倒垃圾,,,,,,,
2021-05-09,黏床,,,,,,,
2021-05-10,黏床,,,,,,,
2021-05-11,洗晾衣服,,,,,,,
2021-05-12,清潔地板,黏床,,,,,,
2021-05-13,倒垃圾,,,,,,,
2021-05-14,黏床,,,,,,,
2021-05-15,倒垃圾,,,,,,,
2021-05-17,洗晾衣服,,,,,,,
2021-05-18,黏床,收摺衣服,,,,,,
2021-05-20,黏床,倒垃圾,刷馬桶,,,,,
2021-05-21,洗手槽除黴,清潔地板,整理雜物,,,,,
2021-05-23,黏床,洗浴室吸水布,清潔蚊帳,清潔紗窗,,,,
2021-05-25,黏床,清潔冷氣濾網,,,,,,
2021-05-26,洗晾衣服,,,,,,,
2021-05-27,黏床,收摺衣服,,,,,,
2021-05-28,倒垃圾,,,,,,,
2021-05-29,黏床,整理雜物,,,,,,
2021-05-31,刷馬桶,,,,,,,
2021-06-01,黏床,洗浴室吸水布,,,,,,
2021-06-03,黏床,晾床墊,,,,,,
2021-06-06,黏床,洗洗手槽,,,,,,
2021-06-07,倒垃圾,洗晾衣服,,,,,,
2021-06-08,收摺衣服,,,,,,,
2021-06-09,黏床,,,,,,,
2021-06-11,黏床,整理雜物,,,,,,
2021-06-13,黏床,洗浴室吸水布,清洗雜物,,,,,
2021-06-15,黏床,倒垃圾,清潔地板,,,,,
2021-06-16,洗濾水壺,,,,,,,
2021-06-17,清洗雜物,黏床,整理雜物,刷馬桶,馬桶除黴,,,
2021-06-18,洗手槽除黴,,,,,,,
2021-06-19,黏床,洗浴室吸水布,洗晾棉被,,,,,
2021-06-20,收摺棉被,,,,,,,
2021-06-21,黏床,清潔地板,清洗雜物,倒垃圾,,,,
2021-06-23,黏床,清潔蚊帳,,,,,,
2021-06-26,黏床,刷馬桶,馬桶除黴,洗浴室吸水布,洗洗手槽,洗手槽除黴,,
2021-06-28,黏床,清潔地板,整理雜物,,,,,
2021-06-29,洗晾衣服,洗晾枕頭套,洗晾枕巾,倒垃圾,,,,
2021-06-30,黏床,收摺衣服,套枕頭套,收摺枕巾,,,,
2021-07-01,整理雜物,清洗雜物,,,,,,
2021-07-02,黏床,,,,,,,
2021-07-03,洗浴室吸水布,,,,,,,
2021-07-04,黏床,清洗毛巾,,,,,,
2021-07-05,鋪床單,整理雜物,洗洗手槽,洗手槽除黴,刷馬桶,馬桶除黴,清潔地板,洗晾床單
2021-07-06,黏床,收摺床單,倒垃圾,,,,,
2021-07-07,清洗毛巾,,,,,,,
2021-07-08,黏床,整理雜物,清潔蚊帳,,,,,
2021-07-09,清洗毛巾,整理雜物,,,,,,
2021-07-10,黏床,洗浴室吸水布,洗晾衣服,清洗毛巾,倒垃圾,,,
2021-07-11,收摺衣服,,,,,,,
2021-07-12,黏床,整理雜物,,,,,,
2021-07-13,清洗毛巾,清洗雜物,清潔地板,,,,,
2021-07-14,黏床,洗洗手槽,洗手槽除黴,刷馬桶,馬桶除黴,,,
2021-07-15,倒垃圾,,,,,,,
2021-07-16,黏床,清潔蚊帳,,,,,,
2021-07-18,整理雜物,,,,,,,
2021-07-19,黏床,洗浴室吸水布,,,,,,