1,11,2021-07-10,2021-07-21
2,8,2021-07-13,2021-07-21
3,3,2021-07-19,2021-07-22
4,11,2021-07-11,2021-07-22
5,9,2021-07-14,2021-07-23
6,8,2021-07-16,2021-07-24
7,64,2021-07-05,2021-09-07
8,64,2021-07-05,2021-09-07
9,64,2021-07-06,2021-09-08
10,9,2021-07-14,2021-07-23
11,5,2021-07-15,2021-07-20
12,9,2021-07-14,2021-07-23
13,6,2021-07-18,2021-07-24
14,9,2021-07-19,2021-07-28
15,90,2021-05-23,2021-08-21
16,90,2021-05-25,2021-08-23
17,90,2021-06-03,2021-09-01
18,12,2021-07-13,2021-07-25
19,90,2021-06-16,2021-09-14
20,9,2021-07-14,2021-07-23
21,90,2021-06-19,2021-09-17
22,90,2021-06-20,2021-09-18
23,90,2021-06-29,2021-09-27
24,90,2021-06-29,2021-09-27
25,90,2021-06-30,2021-09-28
26,90,2021-06-30,2021-09-28
27,3,2021-07-13,2021-07-16